Code,Description
6821,Boneless Chicken Breast FP
2775,B/S Thigh Fillets
3594,Gizzards
8837,Skin on Thighs FP
8809,Skin on Thighs sm
8817,Wings FP
8810,Wings sm
1942,Wingettes
8808,Drums sm
8843,Drums FP
2775,B/S Thigs sm
5878,B/S Thighs FP
8729,B/S Breast sm
6821,B/S Breast FP
8664,Tenders sm
1888,Tenders FP
2836,Perdue Tenders
2829,Perdue Boneless Breast
8805,Whole Fryer
3442,Fresh Turkey wings
3440,Fresh Turkey Drums
3439,Fresh Turkey Necks
592,Frozen Turkey Breast
