Code,Description
2772,NPRM Boneless Breast
2770,NPRM Trimmed Tenders
4811,NPRM Breast Tender Strip
3667,NPRM Thin Sliced Breast
574,NPRM Thighs
6972,NPRM Boneless Thighs
576,NPRM Drums
573,NPRM Wings
4194,NPRM Wing Cuts
2461,NPRM Breast Small Cuts
2976,NPRM Small Pack Breast
3374,NPRM Whole Legs
2464,NPRM Whole Cur Up Chicken
2463,NPRM Whole Fryer
2028,Organic Boneless Thighs
141,Organic Breast Strips
2026,Organic Boneless Breast
2027,Organic Tenders
