Code,Description
3485,RIbeye Single Pack
151,Ribeye Double Pack
152,Ribeye Thin-Cut
153,Ribeye (FP)
3484,NY Strip SIngle Pack
120,NY Strip Double Pack
121,Ny Strip (FP)
